Source,Target,Type,SourceStation,TargetStation
123,5,undirected,roppongi-itchome,tameike-sanno
5,105,undirected,tameike-sanno,nagatacho
105,31,undirected,nagatacho,yotsuya
31,124,undirected,yotsuya,ichigaya
124,64,undirected,ichigaya,iidabashi
64,39,undirected,iidabashi,korakuen
39,125,undirected,korakuen,todaimae
125,126,undirected,todaimae,hon-komagome
126,127,undirected,hon-komagome,komagome
127,128,undirected,komagome,nishigahara
128,129,undirected,nishigahara,oji
129,130,undirected,oji,oji-kamiya
130,131,undirected,oji-kamiya,shimo
131,142,undirected,shimo,akabane-iwabuchi
92,93,undirected,wakoshi,chikatetsu-narimasu
93,94,undirected,chikatetsu-narimasu,chikatetsu-akatsuka
94,95,undirected,chikatetsu-akatsuka,heiwadai
95,96,undirected,heiwadai,hikawadai
96,97,undirected,hikawadai,kotake-mukaihara
97,98,undirected,kotake-mukaihara,senkawa
98,99,undirected,senkawa,kanamecho
99,100,undirected,kanamecho,ikebukuro
100,132,undirected,ikebukuro,zoshigaya
132,133,undirected,zoshigaya,nishi-waseda
133,134,undirected,nishi-waseda,higashi-shinjuku
134,28,undirected,higashi-shinjuku,shinjuku-sanchome
28,135,undirected,shinjuku-sanchome,kita-sando
135,80,undirected,kita-sando,meiji-jingumae
80,0,undirected,meiji-jingumae,shibuya
143,144,undirected,nishi-magome,magome
144,145,undirected,magome,nakanobu
145,146,undirected,nakanobu,togoshi
146,147,undirected,togoshi,gotanda
147,148,undirected,gotanda,takanawadai
148,149,undirected,takanawadai,sengakuji
149,150,undirected,sengakuji,mita
150,151,undirected,mita,daimon
151,7,undirected,daimon,shimbashi
7,48,undirected,shimbashi,higashi-ginza
48,152,undirected,higashi-ginza,takaracho
152,10,undirected,takaracho,nihombashi
10,52,undirected,nihombashi,ningyocho
52,153,undirected,ningyocho,higashi-nihombashi
153,154,undirected,higashi-nihombashi,asakusabashi
154,155,undirected,asakusabashi,kuramae
155,136,undirected,kuramae,asakusa
136,156,undirected,asakusa,honjo-azumabashi
156,141,undirected,honjo-azumabashi,oshiage
119,120,undirected,meguro,shirokanedai
120,157,undirected,shirokanedai,shirokanedai-takanawa
157,150,undirected,shirokanedai-takanawa,mita
150,158,undirected,mita,shibakoen
158,159,undirected,shibakoen,onarimon
159,160,undirected,onarimon,uchisaiwaicho
160,47,undirected,uchisaiwaicho,hibiya
47,35,undirected,hibiya,otemachi
35,114,undirected,otemachi,jimbocho
114,161,undirected,jimbocho,suidobashi
161,162,undirected,suidobashi,kasuga
162,163,undirected,kasuga,hakusan
163,164,undirected,hakusan,sengoku
164,165,undirected,sengoku,sugamo
165,166,undirected,sugamo,nishi-sugamo
166,167,undirected,nishi-sugamo,shin-itabashi
167,168,undirected,shin-itabashi,itabashi kuyakushomae
168,169,undirected,itabashi kuyakushomae,itabashihoncho
169,170,undirected,itabashihoncho,motohasunuma
170,171,undirected,motohasunuma,shimura-sakaue
171,172,undirected,shimura-sakaue,shimura-sanchome
172,173,undirected,shimura-sanchome,hasune
173,174,undirected,hasune,nishidai
174,175,undirected,nishidai,takashimadaira
175,176,undirected,takashimadaira,shin-takashimadaira
176,214,undirected,shin-takashimadaira,nishi-takashimadaira
27,29,undirected,shinjuku,shinjuku-gyoemmae
29,177,undirected,shinjuku-gyoemmae,akebonobashi
177,124,undirected,akebonobashi,ichigaya
124,65,undirected,ichigaya,kudanshita
65,114,undirected,kudanshita,jimbocho
114,178,undirected,jimbocho,ogawamachi
178,179,undirected,ogawamachi,iwamotocho
179,180,undirected,iwamotocho,bakuro yokoyama
180,181,undirected,bakuro yokoyama,hamacho
181,182,undirected,hamacho,morishita
182,183,undirected,morishita,kikukawa
183,117,undirected,kikukawa,sumiyoshi
117,184,undirected,sumiyoshi,nishi-ojima
184,185,undirected,nishi-ojima,ojima
185,186,undirected,ojima,higashi-ojima
186,187,undirected,higashi-ojima,funabori
187,188,undirected,funabori,ichinoe
188,189,undirected,ichinoe,mizue
189,190,undirected,mizue,shinozaki
190,215,undirected,shinozaki,motoyawata
191,192,undirected,hikarigaoka,nerima-kasugacho
192,193,undirected,nerima-kasugacho,toshimaen
193,194,undirected,toshimaen,nerima
194,195,undirected,nerima,shin-egota
