Source,Target,Type,Id,Label,timeset,Weight,source station,target station
114,115,Undirected,123,,,1,trinite-d'estienne d'orves,saint-lazare
115,116,Undirected,124,,,1,saint-lazare,madeleine
116,17,Undirected,125,,,1,madeleine,concorde
17,117,Undirected,126,,,1,concorde,assemblee nationale
117,118,Undirected,127,,,1,assemblee nationale,solferino
118,119,Undirected,128,,,1,solferino,rue du bac
119,87,Undirected,129,,,1,rue du bac,sevres-babylone
87,120,Undirected,130,,,1,sevres-babylone,rennes
120,121,Undirected,131,,,1,rennes,notre-dame-de-champs
121,122,Undirected,132,,,1,notre-dame-de-champs,montparnasse bienvenue
122,123,Undirected,133,,,1,montparnasse bienvenue,falguiere
123,124,Undirected,134,,,1,falguiere,pasteur
124,125,Undirected,135,,,1,pasteur,volontaires
125,126,Undirected,136,,,1,volontaires,vaugirard
126,127,Undirected,137,,,1,vaugirard,convention
127,128,Undirected,138,,,1,convention,porte de versailles
128,129,Undirected,139,,,1,porte de versailles,corentin celton
129,298,Undirected,140,,,1,corentin celton,mairie d'issy
130,131,Undirected,141,,,1,st-denis universite,basilique de st-denis
131,132,Undirected,142,,,1,basilique de st-denis,saint-denis pte de paris
132,133,Undirected,143,,,1,saint-denis pte de paris,carrefour pleyel
133,134,Undirected,144,,,1,carrefour pleyel,mairie de st-ouen
134,135,Undirected,145,,,1,mairie de st-ouen,garibaldi
135,136,Undirected,146,,,1,garibaldi,porte de st-ouen
136,137,Undirected,147,,,1,porte de st-ouen,guy moquet
137,144,Undirected,148,,,1,guy moquet,la fourche
138,139,Undirected,149,,,1,asnieres gennevilliers,les agnettes
139,140,Undirected,150,,,1,les agnettes,gabirel peri
140,141,Undirected,151,,,1,gabirel peri,mairie de clichy
141,142,Undirected,152,,,1,mairie de clichy,porte de clichy
142,143,Undirected,153,,,1,porte de clichy,brochant
143,144,Undirected,154,,,1,brochant,la fourche
144,145,Undirected,155,,,1,la fourche,place de clichy
145,146,Undirected,156,,,1,place de clichy,liege
146,115,Undirected,157,,,1,liege,saint-lazare
115,59,Undirected,158,,,1,saint-lazare,miromesnil
59,147,Undirected,159,,,1,miromesnil,champs-elysees clemenceau
147,16,Undirected,160,,,1,champs-elysees clemenceau,invalides
16,148,Undirected,161,,,1,invalides,varenne
148,149,Undirected,162,,,1,varenne,saint-francois-xavier
149,85,Undirected,163,,,1,saint-francois-xavier,duroc
85,122,Undirected,164,,,1,duroc,montparnasse bienvenue
122,150,Undirected,165,,,1,montparnasse bienvenue,gaite
150,151,Undirected,166,,,1,gaite,pernety
151,152,Undirected,167,,,1,pernety,plaisance
152,153,Undirected,168,,,1,plaisance,porte de vanves
153,154,Undirected,169,,,1,porte de vanves,malakoff plateua de vanves
154,155,Undirected,170,,,1,malakoff plateua de vanves,malakoff rue etienne dolet
155,299,Undirected,171,,,1,malakoff rue etienne dolet,chatillon montrouge
134,156,Undirected,172,,,1,mairie de st-ouen,saint-ouen
156,142,Undirected,173,,,1,saint-ouen,porte de clichy
